,orig
2019-04-14,0.195
2019-04-15,0.19899999999999998
2019-04-16,0.187
2019-04-17,0.195
2019-04-18,0.2
2019-04-19,0.17600000000000002
2019-04-21,0.16899999999999998
2019-04-22,0.166
2019-04-23,0.166
2019-04-24,0.158
2019-04-25,0.157
2019-04-29,0.157
2019-04-30,0.17
2019-05-01,0.18
2019-05-02,0.175
2019-05-03,0.163
2019-05-04,0.162
2019-05-05,0.155
2019-05-06,0.151
2019-05-07,0.151
2019-05-08,0.177
2019-05-09,0.176
2019-05-10,0.174
2019-05-11,0.18600000000000005
2019-05-12,0.164
2019-05-13,0.15
2019-05-14,0.207
2019-05-15,0.078
2019-05-16,0.135
2019-05-17,0.127
2019-05-18,0.124
2019-05-19,0.127
2019-05-20,0.127
2019-05-21,0.11699999999999999
2019-05-22,0.122
2019-05-23,0.111
2019-05-24,0.092
2019-05-25,0.069
2019-05-26,0.065
2019-05-27,0.059000000000000004
2019-05-28,0.138
2019-05-29,0.024
2019-05-30,0.068
2019-05-31,0.08199999999999999
2019-06-01,0.085
2019-06-02,0.08
2019-06-03,0.07200000000000001
2019-06-04,0.064
2019-06-05,0.08199999999999999
2019-06-06,0.078
2019-06-07,0.249
2019-06-08,0.008
2019-06-09,0.024
2019-06-10,0.141
2019-06-11,0.251
2019-06-12,0.241
2019-06-13,0.265
2019-06-14,0.301
2019-06-15,0.253
2019-06-16,0.21600000000000005
2019-06-17,0.192
2019-06-18,0.169
2019-06-19,0.153
2019-06-20,0.157
2019-06-21,0.136
2019-06-22,0.125
2019-06-23,0.11199999999999999
2019-06-24,0.132
2019-06-25,0.125
2019-06-26,0.162
2019-06-27,0.143
2019-06-28,0.11
2019-06-29,0.112
2019-06-30,0.1
2019-07-01,0.089
2019-07-02,0.081
2019-07-03,0.108
2019-07-04,0.039
2019-07-05,0.066
2019-07-06,0.058
2019-07-07,0.08800000000000001
2019-07-08,0.057
2019-07-09,0.076
2019-07-10,0.066
2019-07-11,0.068
2019-07-12,0.064
2019-07-13,0.064
2019-07-14,0.055999999999999994
2019-07-15,0.055999999999999994
2019-07-16,0.06
2019-07-17,0.194
2019-07-18,0.013
2019-07-19,0.04
2019-07-20,0.016
2019-07-21,0.039
2019-07-22,0.059
2019-07-23,0.033
2019-07-24,0.035
2019-07-25,2.33
2019-07-26,4.44
2019-07-27,4.45
2019-07-28,0.114
2019-07-29,0.753
2019-07-30,0.054
2019-07-31,0.087
2019-08-01,0.096
2019-08-02,0.038
2019-08-03,0.058
2019-08-04,0.052
2019-08-05,0.049
2019-08-06,0.072
2019-08-07,0.039
2019-08-08,0.03
2019-08-09,0.034
2019-08-10,0.035
2019-08-11,0.021
2019-08-12,0.025
2019-08-13,0.024
2019-08-14,0.056
2019-08-15,0.038
2019-08-16,0.045
2019-08-17,0.047
2019-08-18,0.051
2019-08-19,0.048
2019-08-20,0.033
2019-08-21,0.040999999999999995
2019-08-22,0.039
2019-08-23,0.025
2019-08-24,0.022000000000000002
2019-08-25,0.023
2019-08-26,0.019
2019-08-27,0.016
2019-08-28,0.105
2019-08-29,0.035
2019-08-30,0.016
2019-08-31,0.013000000000000001
2019-09-01,0.006
2019-09-02,0.001
2019-09-14,0.009
2019-09-15,0.007
2019-09-16,0.006
2019-09-17,0.004
2019-09-18,0.004
2019-09-19,0.004
2019-09-20,0.005
2019-09-21,0.006
2019-09-22,0.008
2019-09-23,0.011
2019-09-24,0.013
2019-09-25,0.028
2019-09-26,0.028
2019-09-27,0.026
2019-09-28,0.033
2019-09-29,0.047
2019-09-30,0.066
2019-10-01,0.067
2019-10-02,0.116
2019-10-03,0.061
2019-10-04,0.058
2019-10-05,0.054
2019-10-06,0.15
2019-10-07,0.269
2019-10-08,0.134
2019-10-09,0.118
2019-10-10,0.13
2019-10-11,0.123
2019-10-12,0.123
2019-10-13,0.13
2019-10-14,0.099
2019-10-15,0.067
2019-10-16,0.07
2019-10-17,0.079
2019-10-18,0.093
2019-10-19,0.11
2019-10-20,0.103
2019-10-21,0.121
2019-10-22,0.11
2019-10-23,0.092
2019-10-24,0.05
2019-10-25,0.067
2019-10-26,0.081
2019-10-27,0.082
2019-10-28,0.088
2019-10-29,0.076
2019-10-30,0.079
2019-10-31,0.081
2019-11-01,0.097
2019-11-02,0.127
2019-11-03,0.134
2019-11-04,0.137
2019-11-05,0.122
2019-11-06,0.114
2019-11-07,0.11699999999999999
2019-11-08,0.133
2019-11-09,0.126
2019-11-10,0.138
2019-11-11,0.191
2019-11-12,0.273
2019-11-13,0.286
2019-11-14,0.334
2019-11-15,0.62
2019-11-16,0.735
2019-11-17,0.782
